dataset,function,formula,c,noise,samples,test_samples,dimension,outer_seed,method,R,top_m,width_hidden,grid,lamb,probe_steps,num_ok_probes,probe_test_mse_mean,probe_test_mse_min,selected_screen_features,top_selection_variables,runtime_sec,screen_contains_all_true_vars,screen_true_var_recall,screen_true_var_f1,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,residual_top1_pair,residual_top_pair,residual_true_pair_rank_worst,residual_true_pair_score_mean,residual_max_false_pair_score
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2005,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0061310741339663,0.0013759464491158,"[0, 1, 2, 3]","[0, 1, 2, 3, 23, 15, 9, 6, 11, 5, 7, 17]",342.6954343318939,1,1.0,1.0,1,1.0,1,0,"[21, 24]",294.0,0.0254976209253072,0.3244513869285583
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2006,feature_stability_var,20,4,16,5,0.001,75,20,0.0087822117289761,0.0002274048747494,"[0, 1, 2, 3]","[0, 1, 2, 3, 21, 14, 17, 15, 9, 28, 6, 24]",344.6527180671692,1,1.0,1.0,1,1.0,1,0,"[1, 21]",343.0,0.0164075307548046,0.2962326109409332
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2006,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0087822117289761,0.0002274048747494,"[0, 1, 2, 3]","[0, 1, 2, 3, 21, 14, 20, 28, 17, 15, 9, 11]",344.6531314849853,1,1.0,1.0,1,1.0,1,0,"[1, 21]",343.0,0.0164075307548046,0.2962326109409332
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2007,feature_stability_var,20,4,16,5,0.001,75,20,0.0233158441784325,0.0006073546828702,"[0, 1, 2, 3]","[0, 1, 3, 2, 21, 9, 25, 11, 7, 14, 22, 23]",342.41471815109253,1,1.0,1.0,1,1.0,1,0,"[1, 21]",365.0,0.010883267968893,0.2768704295158386
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2007,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0233158441784325,0.0006073546828702,"[0, 1, 2, 3]","[0, 1, 3, 2, 21, 23, 9, 25, 11, 22, 7, 14]",342.4151237010956,1,1.0,1.0,1,1.0,1,0,"[1, 21]",365.0,0.010883267968893,0.2768704295158386
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2008,feature_stability_var,20,4,16,5,0.001,75,20,0.0016316880297381,0.0004541672533378,"[0, 1, 2, 3]","[0, 1, 3, 2, 9, 21, 15, 11, 14, 29, 24, 22]",350.237863779068,1,1.0,1.0,1,1.0,1,0,"[10, 29]",313.0,0.0307828541845083,0.2915376424789428
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2008,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0016316880297381,0.0004541672533378,"[0, 1, 2, 3]","[0, 1, 3, 2, 9, 15, 21, 11, 29, 14, 22, 24]",350.2382707595825,1,1.0,1.0,1,1.0,1,0,"[10, 29]",313.0,0.0307828541845083,0.2915376424789428
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2009,feature_stability_var,20,4,16,5,0.001,75,20,0.0123469038633629,0.0007831326220184,"[0, 1, 2, 3]","[0, 1, 3, 2, 9, 8, 14, 4, 5, 22, 18, 24]",338.00009775161743,1,1.0,1.0,1,1.0,1,0,"[8, 11]",373.0,0.0127779068425297,0.3136334717273712
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,128,512,30,2009,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0123469038633629,0.0007831326220184,"[0, 1, 2, 3]","[0, 1, 3, 2, 8, 9, 4, 22, 14, 21, 18, 24]",338.00050592422485,1,1.0,1.0,1,1.0,1,0,"[8, 11]",373.0,0.0127779068425297,0.3136334717273712
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,30,2000,feature_stability_var,20,4,16,5,0.001,75,20,0.0004630577856005,4.7606867155991495e-05,"[0, 1, 2, 3]","[0, 1, 3, 2, 11, 4, 24, 5, 16, 18, 8, 15]",359.98440885543823,1,1.0,1.0,1,1.0,1,0,"[1, 21]",401.0,0.0041680224239826,0.2534167766571045
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,30,2000,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0004630577856005,4.7606867155991495e-05,"[0, 1, 2, 3]","[0, 1, 3, 2, 11, 4, 24, 19, 5, 15, 6, 16]",359.9848208427429,1,1.0,1.0,1,1.0,1,0,"[1, 21]",401.0,0.0041680224239826,0.2534167766571045
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,30,2001,feature_stability_var,20,4,16,5,0.001,75,20,0.0001947844442838,3.885744081344456e-05,"[0, 1, 2, 3]","[0, 1, 3, 2, 6, 26, 14, 16, 11, 21, 15, 13]",367.1450400352478,1,1.0,1.0,1,1.0,1,0,"[1, 21]",383.0,0.0098503427579998,0.2259330600500106
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,30,2001,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0001947844442838,3.885744081344456e-05,"[0, 1, 2, 3]","[0, 1, 3, 2, 6, 11, 14, 29, 26, 16, 12, 21]",367.1454448699951,1,1.0,1.0,1,1.0,1,0,"[1, 21]",383.0,0.0098503427579998,0.2259330600500106
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,30,2002,feature_stability_var,20,4,16,5,0.001,75,20,0.0005793457075924,7.500640640500933e-05,"[0, 1, 2, 3]","[0, 1, 3, 2, 24, 8, 18, 21, 14, 22, 7, 28]",363.8208749294281,1,1.0,1.0,1,1.0,1,0,"[1, 21]",424.0,0.0015192901482805,0.2373979091644287
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,30,2002,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0005793457075924,7.500640640500933e-05,"[0, 1, 2, 3]","[0, 1, 3, 2, 24, 8, 14, 21, 5, 18, 16, 7]",363.8212990760803,1,1.0,1.0,1,1.0,1,0,"[1, 21]",424.0,0.0015192901482805,0.2373979091644287
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,30,2003,feature_stability_var,20,4,16,5,0.001,75,20,0.0001963196446013,3.906137135345489e-05,"[0, 1, 2, 3]","[0, 1, 3, 2, 7, 18, 14, 27, 8, 24, 29, 23]",358.5883421897888,1,1.0,1.0,1,1.0,1,0,"[21, 24]",417.0,0.0020107417367398,0.2468303442001342
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,30,2003,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0001963196446013,3.906137135345489e-05,"[0, 1, 2, 3]","[0, 1, 3, 2, 27, 8, 14, 18, 4, 28, 6, 29]",358.5887563228607,1,1.0,1.0,1,1.0,1,0,"[21, 24]",417.0,0.0020107417367398,0.2468303442001342
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,30,2004,feature_stability_var,20,4,16,5,0.001,75,20,0.000221898944801,6.397695688065141e-05,"[0, 1, 2, 3]","[0, 1, 3, 2, 5, 14, 27, 10, 29, 4, 24, 25]",365.67969155311584,1,1.0,1.0,1,1.0,1,0,"[9, 18]",386.0,0.0116926915943622,0.2098104953765869
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,30,2004,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.000221898944801,6.397695688065141e-05,"[0, 1, 2, 3]","[0, 1, 3, 2, 5, 24, 18, 27, 10, 14, 4, 9]",365.6800935268402,1,1.0,1.0,1,1.0,1,0,"[9, 18]",386.0,0.0116926915943622,0.2098104953765869
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,30,2005,feature_stability_var,20,4,16,5,0.001,75,20,0.0003113038288574,3.198167905793525e-05,"[0, 1, 2, 3]","[0, 1, 3, 2, 5, 24, 23, 6, 4, 17, 8, 7]",362.767560005188,1,1.0,1.0,1,1.0,1,0,"[1, 24]",279.0,0.022462148219347,0.2797870635986328
breast_cancer,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.1,0.0,256,512,30,2005,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0003113038288574,3.198167905793525e-05,"[0, 1, 2, 3]","[0, 1, 3, 2, 8, 25, 14, 17, 5, 29, 6, 11]",362.7679841518402,1,1.0,1.0,1,1.0,1,0,"[1, 24]",279.0,0.022462148219347,0.2797870635986328
