wave,method,function,samples,dimension,top_m,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auprc_mean,interaction_f1_mean,interaction_f1_std,true_interaction_best_rank_mean,true_interaction_rank_mean_mean,true_interaction_rank_mean_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,runtime_sec_mean,runtime_sec_std,num_runs
broad,edge_endpoint_mass,core_interaction_c025,512,100,4,0.010285635168353716,0.0007620929102026386,0.013717316711942354,0.00015792592006478372,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.52,0.0,0.0,199.0,199.0,0.0,-0.46134984493255615,0.17195301796511703,0.0,5.544692357381185,0.5971126740542186,3
broad,edge_endpoint_mass,core_interaction_c025,1024,100,4,0.00029571216631059843,6.20021572657891e-05,0.00031965171607832116,5.8548269930722315e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.5773502691896258,1.6666666666666667,1.6666666666666667,0.5773502691896257,-0.016291558742523193,0.13987441949597818,0.3333333333333333,6.168677409489949,0.12638058824141213,3
broad,edge_endpoint_mass,core_interaction_c025,1024,100,6,0.0002656855504028499,0.00013990804844864682,0.000325322257898127,0.00018093728476882215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.5773502691896258,1.6666666666666667,1.6666666666666667,0.5773502691896257,-0.11021116810540359,0.42957499627486007,0.3333333333333333,5.819920460383098,0.1681416972249592,3
broad,edge_endpoint_mass,core_interaction_c05,512,100,4,0.00024743578978814185,5.662981415581364e-05,0.0003096423267076413,5.618231750690478e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3844445397456487,0.08996785052030437,1.0,5.6846817334493,0.13295916235568972,3
broad,edge_endpoint_mass,core_interaction_c05,512,100,6,0.0002106877121453484,6.759986842560651e-06,0.00029194245386558276,2.0500130490584948e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2835429596404235,0.30184157983371007,1.0,5.937641620635986,0.11967943341985356,3
broad,edge_endpoint_mass,core_interaction_c1,512,100,4,0.0004817460139747709,0.0002013799453531729,0.0006449841894209385,0.00021716367154252873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8572715520858765,0.1588413375729937,1.0,5.408204237620036,0.7285599633926861,3
broad,edge_pair_endpoint,core_interaction_c025,512,100,4,0.010258530266582966,0.0007828847273898099,0.013674717706938585,0.00021339916563214374,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.52,0.0,0.0,199.0,199.0,0.0,-0.4588482578595479,0.20252139890698115,0.0,5.885833104451497,0.12501408976684275,3
broad,edge_pair_endpoint,core_interaction_c025,1024,100,4,0.0002647103489531825,1.564431745606038e-05,0.0002883603350104143,4.077411807033964e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.5773502691896258,1.3333333333333333,1.3333333333333333,0.5773502691896258,0.007594555616378784,0.11460761654110872,0.6666666666666666,6.190301497777303,0.12694182470930504,3
broad,edge_pair_endpoint,core_interaction_c025,1024,100,6,0.00026082257196928066,0.00013673637858335576,0.000320447589425991,0.0001740166643492646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.5773502691896258,1.6666666666666667,1.6666666666666667,0.5773502691896257,-0.12360966640214126,0.39017167874293807,0.3333333333333333,5.871408303578694,0.4323643710212451,3
broad,edge_pair_endpoint,core_interaction_c05,512,100,4,0.00026716555779178935,4.115695335608538e-05,0.0003320197671807061,5.4435276894137694e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3344569553931554,0.21647155468646997,1.0,5.742249329884847,0.04452002023727714,3
